postcode,neighbourhood
75001,75002
75001,75003
75001,75004
75001,75005
75001,75006
75001,75007
75001,75008
75001,75009
75002,75001
75002,75003
75002,75009
75002,75010
75003,75001
75003,75002
75003,75004
75003,75010
75003,75011
75004,75001
75004,75003
75004,75005
75004,75006
75004,75011
75004,75012
75005,75001
75005,75004
75005,75006
75005,75012
75005,75013
75005,75014
75006,75001
75006,75004
75006,75005
75006,75007
75006,75014
75006,75015
75007,75001
75007,75006
75007,75008
75007,75015
75007,75016
75008,75001
75008,75007
75008,75009
75008,75016
75008,75017
75008,75018
75009,75001
75009,75002
75009,75008
75009,75010
75009,75017
75009,75018
75010,75002
75010,75003
75010,75009
75010,75011
75010,75018
75010,75019
75010,75020
75011,75003
75011,75004
75011,75010
75011,75012
75011,75019
75011,75020
75012,75004
75012,75005
75012,75011
75012,75013
75012,75020
75013,75005
75013,75012
75013,75014
75014,75005
75014,75006
75014,75013
75014,75015
75015,75006
75015,75007
75015,75014
75015,75016
75016,75007
75016,75008
75016,75015
75016,75017
75017,75008
75017,75009
75017,75016
75017,75018
75018,75008
75018,75009
75018,75010
75018,75017
75018,75019
75019,75010
75019,75011
75019,75018
75019,75020
75020,75010
75020,75011
75020,75012
75020,75019
